# F(Thz)          sk_xx       sk_yy         sk_zz
1.40509115e+01 1.43438811e+00 1.43438811e+00 1.43438811e+00
1.41153652e+01 1.33283496e+00 1.33283497e+00 1.33283496e+00
1.41798189e+01 1.22854072e+00 1.22854072e+00 1.22854072e+00
1.42442726e+01 1.12528933e+00 1.12528933e+00 1.12528933e+00
1.43087264e+01 1.02547206e+00 1.02547206e+00 1.02547206e+00
1.43731801e+01 9.29968971e-01 9.29968971e-01 9.29968971e-01
1.44376338e+01 8.38676148e-01 8.38676149e-01 8.38676148e-01
1.45020875e+01 7.51431209e-01 7.51431209e-01 7.51431209e-01
1.45665412e+01 6.68851242e-01 6.68851242e-01 6.68851242e-01
1.46309950e+01 5.92604330e-01 5.92604330e-01 5.92604330e-01
1.46954487e+01 5.24961307e-01 5.24961307e-01 5.24961307e-01
1.47599024e+01 4.67887734e-01 4.67887734e-01 4.67887734e-01
1.48243561e+01 4.22178688e-01 4.22178688e-01 4.22178688e-01
1.48888099e+01 3.87081660e-01 3.87081660e-01 3.87081660e-01
1.49532636e+01 3.60526879e-01 3.60526879e-01 3.60526879e-01
1.50177173e+01 3.39745745e-01 3.39745745e-01 3.39745745e-01
1.50821710e+01 3.21961752e-01 3.21961752e-01 3.21961752e-01
1.51466247e+01 3.04952078e-01 3.04952079e-01 3.04952079e-01
1.52110785e+01 2.87400022e-01 2.87400022e-01 2.87400022e-01
1.52755322e+01 2.69011399e-01 2.69011399e-01 2.69011399e-01
1.53399859e+01 2.50390087e-01 2.50390087e-01 2.50390087e-01
1.54044396e+01 2.32692398e-01 2.32692398e-01 2.32692398e-01
1.54688934e+01 2.17143056e-01 2.17143056e-01 2.17143056e-01
1.55333471e+01 2.04580985e-01 2.04580985e-01 2.04580985e-01
1.55978008e+01 1.95220988e-01 1.95220988e-01 1.95220988e-01
1.56622545e+01 1.88727755e-01 1.88727755e-01 1.88727755e-01
1.57267082e+01 1.84551582e-01 1.84551582e-01 1.84551582e-01
1.57911620e+01 1.82335303e-01 1.82335303e-01 1.82335304e-01
1.58556157e+01 1.82147925e-01 1.82147925e-01 1.82147926e-01
1.59200694e+01 1.84399346e-01 1.84399345e-01 1.84399346e-01
1.59845231e+01 1.89486966e-01 1.89486966e-01 1.89486966e-01
1.60489769e+01 1.97380441e-01 1.97380441e-01 1.97380442e-01
1.61134306e+01 2.07375996e-01 2.07375996e-01 2.07375996e-01
1.61778843e+01 2.18153056e-01 2.18153056e-01 2.18153056e-01
1.62423380e+01 2.28112121e-01 2.28112121e-01 2.28112122e-01
1.63067917e+01 2.35844715e-01 2.35844714e-01 2.35844715e-01
1.63712455e+01 2.40536831e-01 2.40536831e-01 2.40536831e-01
1.64356992e+01 2.42148161e-01 2.42148161e-01 2.42148162e-01
1.65001529e+01 2.41313956e-01 2.41313956e-01 2.41313956e-01
1.65646066e+01 2.39033671e-01 2.39033671e-01 2.39033671e-01
1.66290604e+01 2.36288006e-01 2.36288006e-01 2.36288006e-01
1.66935141e+01 2.33732334e-01 2.33732334e-01 2.33732334e-01
1.67579678e+01 2.31556205e-01 2.31556205e-01 2.31556205e-01
1.68224215e+01 2.29517177e-01 2.29517177e-01 2.29517177e-01
1.68868752e+01 2.27097409e-01 2.27097409e-01 2.27097409e-01
1.69513290e+01 2.23710624e-01 2.23710624e-01 2.23710624e-01
1.70157827e+01 2.18895977e-01 2.18895977e-01 2.18895977e-01
1.70802364e+01 2.12455209e-01 2.12455209e-01 2.12455209e-01
1.71446901e+01 2.04506169e-01 2.04506169e-01 2.04506169e-01
1.72091439e+01 1.95438624e-01 1.95438624e-01 1.95438625e-01
1.72735976e+01 1.85778098e-01 1.85778098e-01 1.85778098e-01
1.73380513e+01 1.75994763e-01 1.75994763e-01 1.75994763e-01
1.74025050e+01 1.66328289e-01 1.66328289e-01 1.66328289e-01
1.74669587e+01 1.56715604e-01 1.56715604e-01 1.56715604e-01
1.75314125e+01 1.46873082e-01 1.46873082e-01 1.46873082e-01
1.75958662e+01 1.36497461e-01 1.36497461e-01 1.36497461e-01
1.76603199e+01 1.25470206e-01 1.25470206e-01 1.25470206e-01
1.77247736e+01 1.13945144e-01 1.13945144e-01 1.13945144e-01
1.77892274e+01 1.02278457e-01 1.02278457e-01 1.02278457e-01
1.78536811e+01 9.08616080e-02 9.08616080e-02 9.08616080e-02
1.79181348e+01 7.99655491e-02 7.99655490e-02 7.99655491e-02
1.79825885e+01 6.96719848e-02 6.96719848e-02 6.96719848e-02
1.80470422e+01 5.98955230e-02 5.98955229e-02 5.98955230e-02
1.81114960e+01 5.04555029e-02 5.04555028e-02 5.04555029e-02
1.81759497e+01 4.11617724e-02 4.11617723e-02 4.11617724e-02
1.82404034e+01 3.19144729e-02 3.19144728e-02 3.19144728e-02
1.83048571e+01 2.28498133e-02 2.28498132e-02 2.28498132e-02
1.83693109e+01 1.45081059e-02 1.45081058e-02 1.45081058e-02
1.84337646e+01 7.77474715e-03 7.77474709e-03 7.77474711e-03
1.84982183e+01 3.33830776e-03 3.33830772e-03 3.33830773e-03
1.85626720e+01 1.09418856e-03 1.09418854e-03 1.09418854e-03
1.86271258e+01 2.62477891e-04 2.62477886e-04 2.62477887e-04
1.86915795e+01 4.44290619e-05 4.44290609e-05 4.44290612e-05
1.87560332e+01 5.09076407e-06 5.09076394e-06 5.09076397e-06
1.88204869e+01 3.40967441e-07 3.40967430e-07 3.40967433e-07
1.88849406e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.89493944e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.90138481e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.90783018e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.91427555e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.92072093e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.92716630e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.93361167e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.94005704e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.94650241e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.95294779e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.95939316e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.96583853e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.97228390e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.97872928e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.98517465e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.99162002e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
1.99806539e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.00451076e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.01095614e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.01740151e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.02384688e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.03029225e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.03673763e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.04318300e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.04962837e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.05607374e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.06251911e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.06896449e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.07540986e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.08185523e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.08830060e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.09474598e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.10119135e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.10763672e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.11408209e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.12052746e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.12697284e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.13341821e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.13986358e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.14630895e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.15275433e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.15919970e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.16564507e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.17209044e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.17853581e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.18498119e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.19142656e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.19787193e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.20431730e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.21076268e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.21720805e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.22365342e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.23009879e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.23654416e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.24298954e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.24943491e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.25588028e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.26232565e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.26877103e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.27521640e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.28166177e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.28810714e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.29455251e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.30099789e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.30744326e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.31388863e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.32033400e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.32677938e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.33322475e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.33967012e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.34611549e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.35256086e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.35900624e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.36545161e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.37189698e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.37834235e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.38478773e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.39123310e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.39767847e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.40412384e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.41056921e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.41701459e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.42345996e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.42990533e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.43635070e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.44279608e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.44924145e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.45568682e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.46213219e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.46857756e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2.47502294e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
